"Source:","C:\Users\Eduardo Contreras\Documents\EduardoContreras\pedales\Distorsion1\Distorsion1.sch"
"Date:","03/06/2020 15:51:53"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#"
"","","C1","47uF","Device:CP1_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder","~","293D476X9025E2TE3"
"","","C2","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C3","22nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C4","2.2uF","Device:CP1_Small","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","https://www.mouser.mx/datasheet/2/427/293d-1763499.pdf","293D105X0020A2TE3"
"","","C5","4.7uF","Device:CP1_Small","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","https://www.mouser.mx/datasheet/2/427/293d-1763499.pdf","293D105X0020A2TE3"
"","","C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C7","1nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C8","100pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C9","1uF","Device:CP1_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://www.mouser.mx/datasheet/2/427/293d-1763499.pdf","293D105X0020A2TE3"
"","","C10","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C11","4.7nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","C12","10nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","D1","1n4148","Device:D_Small","Diode_SMD:D_SOD-523","https://www.mouser.mx/datasheet/2/258/1N4148X(SOD-523)-V1-1625641.pdf","1N4148X-TP"
"","","D2","1n4148","Device:D_Small","Diode_SMD:D_SOD-523","https://www.mouser.mx/datasheet/2/258/1N4148X(SOD-523)-V1-1625641.pdf","1N4148X-TP"
"","","D3","ON","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","D4","1n4148","Device:D_Small","Diode_SMD:D_SOD-523","https://www.mouser.mx/datasheet/2/258/1N4148X(SOD-523)-V1-1625641.pdf","1N4148X-TP"
"","","D5","1n4148","Device:D_Small","Diode_SMD:D_SOD-523","https://www.mouser.mx/datasheet/2/258/1N4148X(SOD-523)-V1-1625641.pdf","1N4148X-TP"
"","","D6","Active","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","J1","Jack-DC","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","~","KLDX-0202-BC"
"","","J2","IN","Connector:Barrel_Jack_MountingPin","SamacSys_Parts:NYS2162U","~","NYS2162-U"
"","","J3","OUT","Connector:Barrel_Jack_MountingPin","SamacSys_Parts:NYS2162U","~","NYS2162-U"
"","","R1","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R2","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R3","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R4","27K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R5","27K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R6","47R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R7","560R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R8","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R9","39K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R10","22K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R11","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","R12","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"","","RV1","100K","Device:R_POT","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"","","RV2","100K","Device:R_POT","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"","","RV3","100K","Device:R_POT","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"","","Sw1","Footswitch","SamacSys_Parts:Footswitch","SamacSys_Parts:FS57003PLT2B2M2QE","https://www.mouser.mx/datasheet/2/140/FS5700-1147045.pdf","FS57003PLT2B2M2QE"
"","","U1","TL082","Amplifier_Operational:TL082","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tl081.pdf","TL082IPT"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#"
"1","1","C1","47uF","Device:CP1_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder","~","293D476X9025E2TE3"
"2","1","C2","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"3","1","C3","22nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"4","1","C4","2.2uF","Device:CP1_Small","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","https://www.mouser.mx/datasheet/2/427/293d-1763499.pdf","293D105X0020A2TE3"
"5","1","C5","4.7uF","Device:CP1_Small","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","https://www.mouser.mx/datasheet/2/427/293d-1763499.pdf","293D105X0020A2TE3"
"6","1","C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"7","1","C7","1nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"8","1","C8","100pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"9","1","C9","1uF","Device:CP1_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://www.mouser.mx/datasheet/2/427/293d-1763499.pdf","293D105X0020A2TE3"
"10","1","C10","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"11","1","C11","4.7nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"12","1","C12","10nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"13","4","D1, D2, D4, D5","1n4148","Device:D_Small","Diode_SMD:D_SOD-523","https://www.mouser.mx/datasheet/2/258/1N4148X(SOD-523)-V1-1625641.pdf","1N4148X-TP"
"14","1","D3","ON","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"15","1","D6","Active","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
